gene,CARCASMEAN,GUTMEAN,SIG,PARA ,ORTHO,lethaltc,TRANS,HUMAN
gene4736,0,0,0,1,310,0,0,0
gene4769,53.3111,47.9618,0,2,34,0,0,0
gene4756,13.2068,162.922,1,0,2,0,44,0
gene4756,13.2068,162.922,1,0,5,0,44,0
gene4743,11.1956,9.57186,0,6,493,0,0,0
gene4742,36.0937,29.8671,0,0,3,0,0,0
gene4774,1.00132,2.38238,1,1,107,0,17,0
gene4739,0.188425,0,0,0,2,0,0,0
gene4767,6.5503,7.59288,0,0,177,0,0,0
gene4764,25.9973,22.6404,0,0,138,0,0,0
gene4754,66.2272,166.124,1,0,203,0,14,0
gene4762,4.37947,2.45354,1,2,175,0,0,0
gene4747,17.6443,10.2689,1,0,145,0,0,0
gene4761,37.8801,25.9945,1,6,493,0,0,0
gene4755,108.091,154.707,0,0,7,0,0,0
gene4771,20.4442,31.0019,1,6,493,0,8,0
gene4752,18.6282,13.1241,0,1,492,0,0,0
gene4768,44.0484,47.9935,0,0,154,0,0,0
gene4765,25.9087,30.8423,0,6,493,0,0,0
gene4738,12.7806,3.98119,1,0,133,0,0,0
gene4758,0.534871,14.8699,1,1,160,0,43,0
gene4772,7.72357,10.222,0,0,155,0,0,0
gene4753,38.4695,42.7072,0,115,1322,0,0,0
gene4763,11.8657,12.1444,0,0,11,0,0,0
gene4758,0.534871,14.8699,1,32,1089,0,43,0
gene4740,4.65403,0.0400456,1,1,169,0,0,0
gene4749,14.6664,50.6937,1,115,1322,0,15,0
gene4748,4.09581,0.863138,1,0,142,0,0,0
CUFF.394,10.8526,1.57824,1,0,19,0,0,0
gene4770,2.12151,2.68244,0,0,167,0,0,0
gene4760,0.0328997,0,0,3,254,0,0,0
gene4777,0,0,0,0,66,0,0,0
gene4778,0.529016,0.435968,0,3,254,0,0,0
gene4781,0,0,0,2,505,0,0,0
gene4780,0,0.207184,0,0,2,0,0,0
gene4783,0.154379,0.112529,0,0,144,0,0,0
gene4782,0,0,0,0,7,0,0,0
gene4784,0,0,0,1,205,0,0,0
gene4787,0,0.0117401,0,3,5,0,0,0
gene4800,38.9704,65.9236,1,45,1029,0,2,0
gene4824,0,1.82221,0,20,907,0,0,0
gene4793,8.93303,5.31994,0,20,413,0,0,0
gene4826,504.974,20417.4,1,0,2,0,3,0
gene4820,83.3084,78.9419,0,46,1304,0,0,0
gene4796,29.6736,40.99,0,1,4,0,0,0
gene4817,281.488,218.707,0,8,524,0,0,0
gene4801,55.0767,73.5302,0,0,14,0,0,0
CUFF.403,0.26608,4.20528,1,0,33,0,84,0
gene4811,24.0295,56.5606,1,20,907,0,40,0
gene4818,37.6443,36.1953,0,0,3,0,0,0
CUFF.400,43.6481,34.0561,0,12,209,0,0,0
gene4805,14.7786,22.0764,1,9,426,0,12,0
gene4819,2051.02,2313.71,0,131,1043,0,0,0
gene4795,108.56,164.613,1,3,658,0,3,0
gene4814,34.9988,50.1299,1,1,15,0,9,0
gene4799,55.7737,72.96,0,0,168,0,0,0
gene4802,58.5572,59.4915,0,0,98,0,0,0
gene4794,16.241,23.6408,0,0,149,0,0,0
gene4810,207.37,173.286,0,45,852,0,0,0
gene4806,191.432,260.645,0,0,2,0,0,0
gene4821,52.8488,57.6466,0,224,9884,0,0,0
gene4791,26.8717,34.9963,0,0,2,0,0,0
gene4798,34.2809,34.8524,0,224,9884,0,0,0
gene4816,1.76877,3.30886,0,0,139,0,0,0
gene4822,402.315,126.307,1,0,139,0,0,0
gene4803,25.1116,24.9102,0,0,150,0,0,0
gene4808,56.8061,1.75726,1,0,146,0,0,0
gene4804,15.5321,24.5325,0,0,113,0,0,0
gene4809,39.1514,51.4872,0,0,6,0,0,0
gene4797,0.155116,0.0788715,0,0,6,0,0,0
gene4829,0,0,0,0,184,0,0,0
gene4828,0,0,0,0,118,0,0,0
gene4830,0,0,0,0,158,0,0,0
gene4832,0.0305378,0.0202728,0,0,155,0,0,0
gene4831,0.059339,0,0,0,6,0,0,0
gene4833,0.228095,0.152559,0,0,7,0,0,0
gene4835,0.0537597,0.0624633,0,0,165,0,0,0
gene4839,0.354302,1.64734,1,0,66,0,2,0
gene4840,0,0,0,0,155,0,0,0
gene4841,0.232885,0.329298,0,1,149,0,0,0
gene4842,0,0,0,0,2,0,0,0
gene4857,16.3779,15.3937,0,1,145,0,0,0
gene4847,0.249768,0.57201,0,0,9,0,0,0
gene4858,4.0905,1.51963,1,0,6,0,0,0
CUFF.424,11.043,1.77827,1,0,130,0,0,0
gene4851,21.0989,13.6878,1,3,283,0,0,0
gene4845,31.4671,37.6642,0,0,2,0,0,0
gene4856,0.0526109,0.0947511,0,2,17,0,0,0
gene4859,0.0279814,0,0,131,1043,0,0,0
gene4855,23.1646,29.5026,0,45,852,0,0,0
gene4860,0.214709,0.360286,0,131,1043,0,0,0
gene4850,0,0.0417512,0,0,10,0,0,0
gene4852,0.0183728,0.00702345,0,19,1770,0,0,0
gene4854,0.0158551,0,0,3,276,0,0,0
gene4853,0.00631834,0,0,0,6,0,0,0
gene4864,0,0,0,0,6,0,0,0
gene4867,0.0440937,0.668468,1,2,460,0,4,0
gene4866,0,0,0,0,236,0,0,0
gene4868,0,0,0,0,119,0,0,0
gene4870,0.265364,0.366697,0,0,131,0,0,0
gene4872,0.0394289,0.0229124,0,0,161,0,0,0
gene4873,0,0,0,0,147,0,0,0
gene4874,0,0,0,1,15,0,0,0
gene4875,0,0.00566434,0,0,5,0,0,0
gene4876,0,0.0245927,0,0,177,0,0,0
gene4878,0.0177455,0,0,0,6,0,0,0
gene4880,0,0,0,0,252,0,0,0
gene4881,0.543013,0.577655,0,0,171,0,0,0
gene4882,0.0279732,0,0,0,161,0,0,0
gene4883,0.244141,0.304348,0,0,8,0,0,0
gene4907,0.00994701,0.0163137,0,0,140,0,0,0
CUFF.404,19.1449,62.6423,1,1,17,0,51,0
gene4906,12.3134,18.9981,0,0,6,0,0,0
gene4903,11.8215,21.864,0,0,2,0,0,0
CUFF.417,40.9016,20.9399,1,0,125,0,0,0
gene4889,8.76721,15.5837,1,0,239,0,3,0
gene4897,0.0269253,0.0166102,0,20,413,0,0,0
gene4896,24.1476,31.5233,0,0,91,0,0,0
gene4898,3.48079,0.503316,1,0,5,0,0,0
gene4901,11.306,21.0923,1,0,160,0,8,1
gene4888,32.0375,29.1711,0,0,116,0,0,0
gene4890,32.4116,37.3212,0,0,38,0,0,0
gene4899,57.2831,123.688,1,0,2,0,15,0
gene4902,35.5123,36.8376,0,0,3,0,0,0
gene4905,16.9604,21.5858,0,0,126,0,0,0
gene4904,114.346,114.97,0,3,398,0,0,0
gene4891,0.857584,0.269593,0,0,26,0,0,0
gene4900,0.631901,0.0870764,1,0,117,0,0,0
gene4909,0,0,0,0,44,0,0,0
gene4910,0,0,0,1,294,0,0,0
gene4912,0,0,0,2,24,0,0,0
gene4913,0.0330839,0.0161476,0,1,362,0,0,0
gene4914,0,0,0,0,6,0,0,0
gene4930,163.041,140.534,0,0,213,0,0,0
gene4922,2.85652,3.45697,0,0,47,0,0,0
gene4948,0.078285,0.0537785,0,3,494,0,0,0
gene4921,50.2669,53.4604,0,1,372,0,0,0
gene4931,0.898602,0.286507,0,0,21,0,0,0
gene4938,21.8302,27.5699,0,0,98,0,0,0
gene4927,34.9815,43.9537,0,0,12,0,0,0
gene4932,14.7509,41.6333,1,1,312,0,57,0
CUFF.405,7.3529,5.67502,0,0,5,0,0,0
gene4919,23.5118,161.19,1,0,131,0,7,0
gene4941,69.1343,1.24666,1,0,114,0,0,0
gene4924,98.8448,71.537,0,0,6,0,0,0
gene4925,0.43262,0.112289,0,0,21,0,0,0
gene4929,119.12,126.956,0,32,489,0,0,0
gene4933,1.05129,0.682285,0,2,162,0,0,0
gene4934,0.264221,0.0136035,0,72,1461,0,0,0
CUFF.412,62.0829,46.655,0,5,315,0,0,0
gene4920,28.7592,50.8822,0,1,17,0,0,0
gene4945,38.8793,49.6614,0,2,49,0,0,0
CUFF.410,9.8939,2.74802,1,0,293,0,0,0
gene4936,0.542507,0.143814,1,11,429,0,0,0
gene4944,5.07727,132.999,1,11,429,0,9,0
gene4917,28.3126,12.6053,1,1,172,0,0,0
gene4939,1423.01,1545.35,0,0,160,0,0,0
gene4940,65.5866,17.2511,1,21,743,0,0,0
gene4915,22.8501,26.1841,0,5,270,0,0,0
gene4923,17.4515,15.712,0,0,205,0,0,0
gene4949,0,0,0,1,157,0,0,0
gene4950,0,0,0,0,179,0,0,0
gene4951,0,0,0,11,429,0,0,0
gene4952,4.581,3.32493,0,0,204,0,0,0
gene4953,0,0,0,11,429,0,0,0
CUFF.406,1.15257,0.409082,0,0,275,0,0,0
gene4964,6.3526,2.54207,1,0,149,0,0,0
gene4958,113.587,215.524,1,0,144,0,7,1
gene4957,23.6988,32.0403,0,0,144,0,0,0
CUFF.418,66.1848,52.8064,0,1,152,0,0,0
CUFF.408,19.4266,14.7582,0,5,270,0,0,0
gene4967,23.0215,25.8778,0,11,429,0,0,0
gene4969,84.9382,117.967,0,0,14,0,0,0
gene4962,11.8386,10.6383,0,0,149,0,0,0
gene4966,53.1835,178.71,1,1,158,0,49,0
gene4965,0.384181,0.071251,1,11,429,0,0,0
gene4961,21.5517,30.2518,0,5,270,0,0,0
gene4959,205.32,307.826,1,11,429,0,3,0
gene4971,0.0496117,0.145542,0,11,429,0,0,0
gene4970,0,0,0,0,4,0,0,0
gene4972,0,0,0,0,15,0,0,0
gene4973,0,0,0,1,156,0,0,0
gene4974,0.00487699,0,0,115,1322,0,0,0
gene4975,0.160197,1.50095,1,1,3,0,2,0
gene4976,0.0445178,0.0885541,0,0,97,0,0,0
CUFF.415,28.6869,29.4339,0,2,68,0,0,0
gene4986,7.93058,82.8176,1,2,79,0,30,0
gene4982,34.7041,1.78905,1,0,2,0,0,0
CUFF.423,31.4645,23.1566,0,0,2,0,0,0
CUFF.411,16.1005,12.4777,0,5,171,0,0,0
gene4981,37.5141,0.907224,0,0,153,0,0,0
gene4985,0.586838,0.696986,0,0,3,0,0,0
gene4979,16.4543,13.6701,0,0,350,0,0,0
gene4992,29.338,9.71191,1,0,2,0,0,0
CUFF.413,5.0973,2.28601,1,1,321,0,0,0
gene4987,0,0.0238114,0,0,143,0,0,0
gene4993,35.4039,4.17811,1,0,6,0,0,0
gene4978,7.73211,5.57112,0,7,54,0,0,0
gene4997,14.698,14.1366,0,0,171,0,0,0
gene4994,2.82593,2.60337,0,6,1114,0,0,0
gene4988,63.0382,54.2165,0,1,375,0,0,0
gene4995,1.63034,5.6845,1,0,63,0,4,0
gene4990,117.908,116.039,0,0,282,0,0,0
gene4980,0.323191,0.361063,0,22,824,0,0,0
gene4998,2.60028,2.02906,0,0,153,0,0,0
gene4999,10.5682,12.7859,0,0,137,0,0,0
gene5002,0,0.00601845,0,0,164,0,0,0
gene5004,0.0154623,0.044372,0,0,148,0,0,0
gene5005,0,0,0,0,148,0,0,0
gene5007,0,0,0,0,149,0,0,0
CUFF.421,32.8161,19.6294,1,2,521,0,0,0
gene5012,21.0607,22.8704,0,0,159,0,0,0
gene5019,5.87771,1.62249,1,0,135,0,0,0
gene5010,10.3914,5.49674,1,1,442,0,0,0
gene5034,1.60433,0.288332,1,0,104,0,0,0
CUFF.420,3.74299,103.175,1,1,174,0,34,0
gene5026,0.0357591,0.0271576,0,1,36,0,0,0
gene5032,19.3669,19.5592,0,1,162,0,0,0
gene5020,8.37417,0.0826576,1,0,5,0,0,0
gene5023,8.05899,11.1834,0,0,209,0,0,0
gene5014,15.3428,8.11501,1,0,10,0,0,0
gene5008,1.34017,2.02921,0,0,154,0,0,0
gene5009,71.9754,180.791,1,1,258,0,2,0
gene5021,23.9758,36.8801,1,0,144,0,16,0
gene5011,0.342216,0.180152,0,18,2050,0,0,0
gene5015,13.9314,20.67,0,9,177,0,0,0
gene5025,36.3473,8.35803,1,5,22,0,0,0
CUFF.416,0.747859,2.40784,0,32,1089,0,0,0
gene5022,17.3361,25.2704,0,0,6,0,0,0
gene5029,6.97733,18.8708,1,0,2,0,11,0
gene5013,22.9864,22.9324,0,4,29,0,0,0
CUFF.422,19.6932,21.6253,0,45,1029,0,0,0
gene5035,53.9711,28.9338,1,1,20,0,0,0
gene5036,14.9247,9.67232,1,224,9884,0,0,0
gene5024,0,0,0,0,2,0,0,0
gene5039,0,0,0,0,18,0,0,0
gene5041,0,0,0,9,426,0,0,0
gene5042,0,0,0,9,426,0,0,0
gene5043,0,0,0,1,24,0,0,0
gene5074,40.4659,64.4243,1,9,426,0,11,0
gene5053,9.60355,9.77372,0,0,6,0,0,0
gene5066,9.24145,5.56308,1,3,510,0,0,0
gene5054,192.826,226.799,0,4,59,0,0,0
gene5091,16.4579,11.5275,0,1,359,0,0,0
gene5045,0.838068,2.68882,1,1,151,0,4,0
CUFF.427,22.8941,27.8858,0,3,510,0,0,0
gene5083,102.435,304.818,1,3,283,0,11,0
gene5111,55.1052,82.9277,1,2,10,0,3,1
gene5116,26.4895,30.4666,0,0,271,0,0,0
gene5099,20.1405,33.9514,1,9,63,0,7,0
gene5081,2.62574,147.096,1,2,10,0,8,0
gene5112,51.2852,62.0058,0,0,7,0,0,0
gene5122,8.85775,47.2215,1,0,4,0,42,0
gene5056,2.82232,16.0073,1,0,6,0,11,0
gene5090,12.8399,21.7592,1,0,2,0,56,0
gene5094,2.91012,1.30013,0,21,587,0,0,0
gene5093,149.828,166.314,0,1,33,0,0,0
gene5098,63.4112,84.8724,0,0,2,0,0,0
gene5087,7.75722,1.93249,1,0,11,0,0,0
gene5106,22.1728,28.8486,0,30,1444,0,0,0
CUFF.429,27.5305,31.7079,0,0,2,0,0,0
gene5062,9.00184,3.57866,1,2,15,0,0,0
gene5086,27.0027,39.7111,1,4,74,0,14,0
gene5080,57.3759,162.49,1,3,51,0,8,0
gene5059,29.1095,7.23843,1,0,2,0,0,0
gene5063,12.0454,0.315547,1,224,9884,0,0,0
gene5047,4.91188,3.76267,0,3,16,0,0,0
gene5069,9.5243,13.7855,0,30,2344,0,0,0
gene5082,7.48796,12.9057,0,5,450,0,0,0
gene5118,125.106,91.4693,0,15,278,0,0,0
gene5058,38.632,64.7925,1,0,115,0,47,0
gene5100,92.6344,85.6558,0,0,234,0,0,0
gene5078,25.3596,14.7273,1,1,162,0,0,0
gene5075,116.783,116.556,0,0,146,0,0,0
gene5067,12.3042,16.809,0,0,172,0,0,0
CUFF.428,31.5227,28.1682,0,0,179,0,0,0
gene5077,0.20114,0.052792,0,0,151,0,0,0
gene5068,513.632,770.545,0,0,4,0,0,0
gene5073,7.68829,7.18852,0,0,165,0,0,0
CUFF.431,0.762913,0.30674,1,0,216,0,0,0
gene5105,15.9142,20.0598,0,0,151,0,0,0
gene5052,126.106,304.665,1,3,756,0,10,0
gene5096,0,0,0,0,157,0,0,0
gene5060,44.6706,9.23095,1,0,152,0,0,0
gene5072,0.0335764,0,0,2,210,0,0,0
CUFF.460,71.8291,17.4524,1,0,154,0,0,0
CUFF.419,80.302,91.1743,0,0,158,0,0,0
gene5061,43.8982,40.787,0,1,210,0,0,0
gene5109,8.74324,14.3422,1,0,154,0,3,0
gene5049,22.9261,28.3754,0,0,113,0,0,0
gene5051,66.658,51.2386,0,0,3,0,0,0
gene5121,13.0735,2.35704,1,0,2,0,0,0
gene5092,1.62431,1.10317,0,2,221,0,0,0
gene5117,129.039,138.546,0,1,15,0,0,0
gene5089,63.1823,62.8846,0,224,9884,0,0,0
gene5114,107.991,334.453,1,0,80,0,11,0
gene5102,22.8935,27.4924,0,45,1029,0,0,0
gene5104,40.0165,38.6086,0,2,239,0,0,0
gene5110,3.07044,1.24883,1,0,164,0,0,0
CUFF.426,31.5337,6.46123,1,0,132,0,0,0
CUFF.435,11.5086,2.15412,1,0,104,0,0,0
gene5101,3.9359,1.01178,1,0,148,0,0,0
CUFF.430,136.547,287.578,1,6,679,0,70,0
gene5070,13.0783,13.1895,0,1,155,0,0,0
CUFF.433,0.709079,0.570003,0,3,300,0,0,0
gene5113,2412.26,2828.57,0,1,13,0,0,0
gene5048,0.102109,0.0853746,0,0,134,0,0,0
gene5107,48.7045,85.3537,1,1,38,0,8,0
gene5055,12.1203,9.07691,0,0,20,0,0,0
gene5103,51.0773,67.217,0,6,679,0,0,0
gene5126,14.6234,14.2921,0,6,679,0,0,0
gene5127,8.15116,1.04987,1,0,6,0,0,0
gene5125,7.72239,10.4457,0,0,5,0,0,0
CUFF.434,7.05334,7.64367,0,0,126,0,0,0
gene5128,8.12948,2.63787,1,0,6,0,0,0
gene5123,140.533,49.8411,1,6,679,0,0,0
gene5129,0,0,0,1,155,0,0,0
gene5130,0.0208687,0.0688609,0,3,300,0,0,0
gene5131,0.0190264,0,0,1,301,0,0,0
gene5132,0.0556848,0.0139468,0,1,13,0,0,0
gene5133,0.022354,0.0533446,0,0,128,0,0,0
gene5134,0,0,0,0,160,0,0,0
gene5136,0.0841281,0.149669,0,17,366,0,0,0
gene5146,3.57808,4.99354,0,72,1461,0,0,0
gene5149,17.4815,11.4803,0,115,1322,0,0,0
gene5147,539.089,423.781,0,16,1288,0,0,0
gene5162,171.402,135.726,0,0,16,0,0,0
gene5152,26.3508,42.874,1,2,171,0,10,0
CUFF.437,19.4623,4.92935,1,0,162,0,0,0
gene5140,0.887858,0.558602,0,0,63,0,0,0
gene5154,1.50695,0.161728,1,0,166,0,0,0
gene5155,15.4319,3.79818,1,0,147,0,0,0
gene5151,24.5103,14.054,1,1,308,0,0,0
gene5139,0.821363,1.19488,0,0,100,0,0,0
gene5150,11.5373,8.49118,0,1,142,0,0,0
gene5166,0,0,0,0,192,0,0,0
gene5163,16.1789,22.8587,0,0,154,0,0,0
gene5161,140.815,285.001,1,0,172,0,6,0
gene5141,2.27738,1.85695,0,1,153,0,0,0
gene5147,539.089,423.781,0,0,160,0,0,0
gene5138,1.28281,0.501797,0,0,200,0,0,0
gene5145,2.57571,3.97624,0,0,8,0,0,0
gene5159,47.3195,58.6068,0,25,1040,0,0,0
gene5137,0.72928,0.582634,0,27,1541,0,0,0
gene5167,0,0,0,12,829,0,0,0
gene5170,0,0,0,13,313,0,0,0
gene5171,0,0,0,1,332,0,0,0
gene5172,0,0,0,10,1532,0,0,0
gene5173,0,0,0,3,338,0,0,0
gene5174,0,0,0,3,329,0,0,0
gene5177,2.88703,0.174242,1,1,146,0,0,0
gene5183,1.52796,0.968851,0,0,6,0,0,0
gene5188,14.1554,15.6232,0,0,151,0,0,0
gene5190,0.116433,1.08499,1,1,146,0,7,0
gene5179,11.2492,11.2033,0,3,329,0,0,0
CUFF.439,15.3264,15.1095,0,0,145,0,0,0
gene5181,0.0225646,0.170888,0,0,154,0,0,0
gene5184,9.69541,122.832,1,1,259,0,10,0
gene5186,66.3554,91.9119,0,32,510,0,0,0
gene5178,0.0151771,0.0226168,0,0,8,0,0,0
gene5191,3.01188,2.85436,0,0,66,0,0,0
CUFF.436,1.63524,33.4016,1,0,153,0,19,0
gene5187,14.2902,19.7801,0,1,147,0,0,0
gene5192,0.0440736,0.048495,0,1,239,0,0,0
gene5194,0,0,0,0,6,0,0,0
gene5197,0.168387,0.117244,0,1,120,0,0,0
gene5208,10.3168,25.7383,1,0,5,0,8,0
gene5204,15.619,5.84449,1,3,806,0,0,0
gene5202,27.3194,30.27,0,1,30,0,0,0
gene5205,12.833,14.7105,0,37,689,0,0,0
gene5203,7.69213,8.15049,0,1,3,0,0,0
gene5209,44.3341,87.0915,1,0,2,0,20,0
gene5201,32.9233,26.3355,0,11,1085,0,0,0
gene5206,25.489,2.81639,1,0,166,0,0,0
gene5211,0,0,0,0,168,0,0,0
gene5212,0.453527,0.312721,0,1,209,0,0,0
gene5213,0,0,0,0,17,0,0,0
gene5216,0.00678082,0,0,0,136,0,0,0
gene5221,10.6232,1.20138,1,0,5,0,0,0
gene5228,134.709,168.667,0,0,2,0,0,0
gene5224,0.216294,0.0440094,0,0,157,0,0,0
gene5230,0,0,0,1,209,0,0,0
gene5226,0,0,0,0,154,0,0,0
gene5229,0.368621,0.123749,1,0,6,0,0,0
gene5223,12.2112,8.09509,1,0,6,0,0,0
gene5222,0.0341878,0.0222822,0,1,346,0,0,0
gene5227,0.698274,0.941674,0,0,84,0,0,0
gene5225,0.014338,0,0,6,24,0,0,0
gene5235,0.0107328,0,0,0,151,0,0,0
gene5237,0.822535,0.630876,0,0,164,0,0,0
gene5236,0.463947,0.393481,0,0,142,0,0,0
gene5239,0,0,0,0,145,0,0,0
gene5244,0.63791,0.208466,1,0,182,0,0,0
gene5256,18.0357,27.3258,1,0,79,0,6,0
gene5264,35.7105,57.8448,1,0,125,0,24,0
gene5254,37.1486,35.5106,0,0,333,0,0,0
gene5268,43.3791,35.6103,0,0,136,0,0,0
gene5245,30.3456,32.876,0,2,5,0,0,0
gene5255,0.0426281,0.0133781,0,1,3,0,0,0
gene5249,14.5549,19.5838,0,37,689,0,0,0
gene5250,9.16366,21.0835,1,37,689,0,35,0
gene5279,15.1415,21.164,0,46,1304,0,0,0
CUFF.442,2.00276,1.58929,0,1,297,0,0,0
gene5288,10.7694,14.9778,0,4,803,0,0,0
gene5277,51.9235,36.8929,0,1,149,0,0,0
gene5262,34.567,36.7183,0,0,149,0,0,0
gene5274,73.1784,36.672,1,10,1391,0,0,0
gene5252,9.63998,13.7672,0,2,202,0,0,0
gene5276,5.49922,8.3753,0,0,169,0,0,0
gene5270,134.886,299.83,1,0,156,0,20,0
gene5258,48.233,55.2288,0,0,156,0,0,0
gene5263,43.3737,48.0883,0,2,132,0,0,0
gene5286,0.0458387,0.0107296,0,0,164,0,0,0
gene5260,3.37528,5.44726,0,2,244,0,0,0
gene5242,105.139,198.181,1,0,155,0,6,0
gene5248,18.8997,19.008,0,21,743,0,0,0
gene5285,20.9333,24.2901,0,5,664,0,0,0
gene5267,9.02567,13.4385,0,0,155,0,0,0
gene5269,17.7153,26.322,1,1,4,0,15,0
gene5287,75.1136,146.072,1,0,115,0,4,0
gene5278,182.289,247.241,0,0,147,0,0,0
gene5259,198.32,274.923,0,1,316,0,0,0
gene5265,24.42,28.9492,0,3,252,0,0,0
gene5281,18.992,17.7083,0,1,124,0,0,0
gene5241,8.08607,29.4162,1,4,325,0,14,0
gene5280,0.591641,0.150929,0,1,316,0,0,0
gene5243,18.6592,6.03653,1,2,244,0,0,0
gene5257,47.2507,56.3076,0,4,325,0,0,0
gene5271,42.1802,55.5739,0,4,325,0,0,0
gene5246,64.9833,67.7568,0,0,161,0,0,0
gene5247,17.0085,16.5069,0,0,6,0,0,0
gene5284,0.0176122,0.780217,0,2,244,0,0,0
gene5275,26.5207,29.0335,0,0,143,0,0,0
gene5251,0.283072,0.0834431,0,0,97,0,0,0
gene5266,47.7271,58.018,0,4,735,0,0,0
CUFF.441,30.2893,41.656,0,0,166,0,0,0
gene5253,22.4245,16.2784,0,0,180,0,0,0
gene5289,21.7177,32.4141,0,0,131,0,0,0
gene5290,0,0.00673767,0,3,203,0,0,0
gene5293,0,0,0,0,18,0,0,0
gene5295,0,0,0,1,240,0,0,0
gene5296,34.8696,1.66369,1,0,137,0,0,0
gene5306,11.3957,8.66434,0,0,134,0,0,0
gene5300,1.59496,0.740546,0,0,164,0,0,0
gene5307,34.7756,24.5276,0,1,374,0,0,0
gene5309,44.7371,49.0614,0,22,214,0,0,0
gene5298,7.15063,3.54711,1,4,325,0,0,0
gene5302,16.0634,17.8151,0,1,3,0,0,0
gene5296,34.8696,1.66369,1,2,304,0,0,0
gene5301,2.73552,0.490318,1,0,139,0,0,0
gene5299,31.4324,26.6523,0,1,9,0,0,0
gene5308,50.2481,82.524,1,0,68,0,5,0
gene5310,32.5184,45.1489,0,0,87,0,0,0
gene5305,8.07752,2.1371,1,1,374,0,0,0
gene5304,15.5971,49.7262,1,1,461,0,29,0
gene5303,0.207803,0.96269,0,0,11,0,0,0
gene5311,0.692048,0.533696,0,1,301,0,0,0
gene5312,0.0753829,0.0511413,0,0,160,0,0,0
gene5313,0.0154735,0,0,1,343,0,0,0
gene5328,11.6564,7.44319,1,0,173,0,0,0
gene5317,10.8668,4.1301,1,0,142,0,0,0
gene5320,5.44935,7.49418,0,0,6,0,0,0
gene5318,28.512,5.7075,1,0,427,0,0,0
gene5326,11.7159,0.485993,1,0,151,0,0,0
gene5332,0.269841,0.0679548,0,21,743,0,0,0
gene5327,169.398,225.137,0,2,475,0,0,0
CUFF.446,3.5635,3.95599,0,0,142,0,0,0
gene5329,494.151,51.4586,1,2,185,0,0,0
gene5333,8.22113,298.91,1,0,154,0,10,0
gene5316,0.00408333,0,0,0,3,0,0,0
gene5330,38.428,6.20832,1,1,152,0,0,0
CUFF.445,1.33289,0.812458,0,5,664,0,0,0
gene5325,11.2683,10.4191,0,0,85,0,0,0
gene5321,6.27804,3.5418,1,0,141,0,0,0
gene5341,0,0,0,0,199,0,0,0
gene5340,0,0,0,0,96,0,0,0
gene5342,0,0,0,0,158,0,0,0
gene5354,150.122,145.312,0,0,7,0,0,0
gene5346,103.547,111.631,0,1,277,0,0,0
gene5356,33.9698,28.8573,0,0,2,0,0,0
CUFF.449,14.7197,6.00192,1,45,852,0,0,0
gene5358,12.5387,5.56168,1,0,2,0,0,0
gene5357,22.6186,27.5181,0,9,994,0,0,0
gene5352,0.941681,0.728287,0,17,366,0,0,0
gene5355,138.681,169.861,0,45,852,0,0,0
gene5350,9.67781,11.1641,0,2,16,0,0,0
gene5353,48.5021,95.2427,1,0,16,0,12,0
gene5348,26.0368,39.7149,1,1,29,0,2,0
gene5344,4.65268,5.66026,0,3,173,0,0,0
gene5345,75.6078,86.1124,0,0,148,0,0,0
gene5343,3.3795,5.43361,0,0,254,0,0,0
gene5361,0.251821,0.181899,0,1,162,0,0,0
gene5362,5.94304,3.57261,1,0,7,0,0,0
gene5363,0.022682,0.00630325,0,1,201,0,0,0
gene5364,0.0365325,0.0085123,0,0,6,0,0,0
gene5366,0,0.00657101,0,0,135,0,0,0
gene5367,0.00987432,0,0,0,10,0,0,0
gene5369,0,0,0,1,29,0,0,0
gene5370,1.76157,1.73093,0,0,7,0,0,0
gene5377,0.208689,2.56685,1,0,156,0,2,0
gene5376,0.0593955,0,0,0,152,0,0,0
gene5383,0.172538,0.0977607,0,0,8,0,0,0
gene5381,29.7739,379.569,1,3,173,0,6,0
gene5385,0,0,0,0,6,0,0,0
gene5373,18.888,0.439603,1,0,5,0,0,0
gene5374,0,0,0,1,312,0,0,0
gene5382,33.8815,12.5054,1,0,14,0,0,0
gene5375,0.0151009,0,0,12,692,0,0,0
gene5372,0.629866,0.100981,0,19,591,0,0,0
gene5386,0.418998,3.2896,1,0,2,0,6,0
gene5389,0.0615857,0,0,5,1030,0,0,0
gene5390,0,0.0295743,0,224,9884,0,0,0
gene5391,3.7109,0.0374303,1,224,9884,0,0,0
gene5393,0.00468422,0.0160347,0,0,7,0,0,0
gene5394,0.0754579,0,0,0,146,0,0,0
gene5397,0,0,0,1,153,0,0,0
gene5398,0,0,0,3,158,0,0,0
gene5473,4.01647,141.118,1,0,124,0,33,0
gene5466,33.916,30.973,0,0,7,0,0,0
gene5403,21.5567,30.1385,0,0,3,0,0,0
CUFF.458,34.1056,16.367,1,0,150,0,0,0
gene5442,1.4025,1.02308,0,0,140,0,0,0
gene5457,3.51132,3.99749,0,1,33,0,0,0
gene5419,26.0536,27.9299,0,8,401,0,0,0
gene5431,1.13195,19.0893,1,0,138,0,15,0
gene5447,16.7788,9.44453,1,0,146,0,0,0
gene5469,14.5687,17.8236,0,0,2,0,0,0
gene5467,11.2904,14.5098,0,115,1322,0,0,0
gene5434,0.44055,23.6505,1,224,9884,0,5,0
gene5464,8.23595,8.54498,0,3,447,0,0,0
